	m00        mu02        mu11        mu20        mu03         mu12         mu21       mu30
a	119 1164.571429 -84 2274.705882 -728.448980 -1026.235294 -308.016807 2446.878893 
a	124 1205.870968 -30.129032 2439.120968 -703.298647 -1067.540583 -395.008325 2494.423127 
a	123 1167.365854 -47.073171 2372.747967 -531.112433 -1078.021416 -452.984335 2438.033181 
a	131 1288.229008 -13.320611 2523.648855 -480.553814 -1266.542218 -219.485170 2209.729619 
a	133 1385.879699 -148.030075 2644.992481 -613.045395 -1565.516988 -251.322856 2869.338459 
a	136 1391.970588 -149.147059 2739.264706 -485.410900 -1416.966263 -123.360727 2651.696367 
a	132 1438.931818 -4.045455 2349.969697 -943.639463 -1104.214187 49.953168 1834.372819 
a	135 1393.748148 -73.792593 2756.770370 -498.241097 -1471.545240 -98.636818 2912.923567 
a	140 1598.285714 -19.285714 2822.135714 -784.040816 -1806.130612 -186.112245 2787.464388 
a	140 1526.650000 -0.550000 2714.135714 -942.735000 -1262.826429 -354.086429 2689.078469 
c	90 1146.100000 30.133333 2120.622222 1137.586667 140.293333 1959.665185 1966.437531 
c	93 1103.892473 6.698925 2245.956989 1026.928431 197.642618 2210.382125 2830.876402 
c	94 1176.638298 30.404255 2258.989362 1268.803078 446.098687 2367.434133 1493.095518 
c	105 1342.190476 118.904762 2612.247619 1205.247166 268.595465 2273.259410 1681.748390 
c	107 1429.719626 138.766355 2676.971963 1552.374880 333.047602 2864.302909 1732.495414 
c	106 1477.962264 -11.415094 2469.433962 1329.658953 123.323959 2424.940904 2302.519758 
c	101 1398.217822 20.168317 2402.811881 1718.946770 199.583080 2208.885305 1922.797961 
c	109 1591.669725 59.284404 2501.449541 1336.862722 388.398283 2747.921050 1758.198973 
c	100 1374.840000 81.560000 2363.040000 1294.987200 232.524800 2304.763200 2286.748800 
c	100 1409.360000 92.080000 2329.240000 1409.702400 485.867200 2251.001600 1558.564800 
e	115 1540.991304 33.843478 2355.182609 950.800151 -301.788582 1310.901172 -830.352817 
e	113 1505.008850 43.008850 2283.008850 633.395881 -240.462526 1322.263137 -924.427128 
e	125 1601.728000 1.520000 2572.800000 510.233856 -63.960960 1252.489600 -1737.456000 
e	119 1630.352941 -21.941176 2335.747899 992.387543 -346.694513 1670.807217 -1382.213403 
e	118 1481.423729 -21.491525 2380.610169 598.241885 -415.194484 1367.895432 -1551.054295 
e	130 1722.530769 23.546154 2688.069231 849.213728 30.805207 1409.838580 -1446.565207 
e	129 1692.062016 -17.775194 2765.689922 612.821946 -200.863470 1531.029806 -1342.729163 
e	121 1512.198347 51.231405 2499.603306 557.892630 -389.340141 1474.818045 -1470.807322 
e	122 1681.901639 20.524590 2487.868852 706.006987 -411.829616 1382.949207 -1080.712712 
